registrarname,domains
OVH (R135-LROR),207966
"DELUXE SMALL BUSINESS SALES, INC. D/B/A APLUS.NET",206455
EURODNS S.A,205758
NETREGISTRY PTY. LTD.,205407
TLD REGISTRAR SOLUTIONS LTD,205029
"EPIK, INC.",204275
"Domain.com, LLC",203544
Key-Systems GmbH (R51-LROR),201957
"PSI-USA, Inc. dba Domain Robot",199257
DINAHOSTING SL,194582
"WHOISNETWORKS CO., LTD.",193443
"XIAMEN NAWANG TECHNOLOGY CO., LTD",192792
NAMEBAY,187009
INTERWEB ADVERTISING D.B.A. PROFILE BUILDER,186160
DATTATEC.COM SRL,185325
"GKG.NET, INC.",181677
APRIL SEA INFORMATION TECHNOLOGY CORPORATION,181356
"INAMES CO., LTD.",178315
ASIA Registry R6-ASIA (9996),175035
MAFF INC.,174500
TPP WHOLESALE PTY LTD.,174306
"INSTRA CORPORATION PTY, LTD.",173915
Gandi SAS,173487
"CSC Corporate Domains, Inc.",172679
"TODAYNIC.COM, INC.",166928
"Chengdu West Dimension Digital Technology Co., Ltd.",165299
Cronon AG,161799
"EVERYONES INTERNET, LTD. DBA SOFTLAYER",160948
P.A. VIET NAM COMPANY LIMITED,158797
EASYSPACE LTD.,154898
DOTNAME KOREA CORP,154714
"10DENCEHISPAHARD, S.L",153812
Key-Systems GmbH (R124-LRMS),152920
LCN.COM LTD.,151897
"Melbourne IT, Ltd",150567
NAMESECURE.COM,150512
"DOMAINSITE, INC.",149540
Mesh Digital Limited (R1728-LROR),147712
EVOPLUS LTD,145293
Afilias Special Projects,144127
LIQUIDNET LTD.,143909
HEBEI GUOJI MAOYI (SHANGHAI) LTD DBA HEBEIDOMAINS.COM,143541
GRANSY S.R.O D/B/A SUBREG.CZ,142931
"Name.com, LLC (R1288-LROR)",142348
TUCOWS.COM CO.,142164
1&1 INTERNET AG,141711
SAFENAMES LTD,141287
"OMNIS NETWORK, LLC",138914
DOMENESHOP AS,138619
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA (R76-LROR)",137615
Afilias Special Projects (R556-LRMS),135590
"CHENGDU FLY-DIGITAL TECHNOLOGY CO., LTD",133221
"Name.com, LLC",131694
"DYNAMIC NETWORK SERVICES, INC",128109
"SOLUCIONES CORPORATIVAS IP,SLU",127807
NOMINALIA INTERNET S.L.,127454
LOCAWEB SERVICOS DE INTERNET S/A DBA LOCAWEB,127302
YESNIC CO. LTD.,126638
