registrarname,domains
GOOD DOMAIN REGISTRY PVT LTD.,11
JIANGSU BANGNING SCIENCE & TECHNOLOGY CO. LTD,11
"Register.com, Inc. (R71-LROR)",11
DOMAINREGI LLC,11
REGTIME LTD.,11
Key-Systems GmbH (R51-LROR),11
SHINJIRU MSC SDN BHD,11
REGISTRYGATE GMBH,11
"ACTIVE REGISTRAR, INC.",11
PLANETDOMAIN PTY LTD.,11
123-REG LIMITED,11
"WHOISNETWORKS CO., LTD.",11
NAMESCOUT CORP,10
AEROTEK BILISIM TAAHUT SANAYI VE TICARET LTD STI.,10
ACTIVE 24 AS,10
"Melbourne IT, Ltd (R52-LROR)",10
TRUNKOZ TECHNOLOGIES PVT LTD. D/B/A OWNREGISTRAR.COM,10
Internet.bs Corp. (R1601-LROR),10
ENETICA PTY LTD,10
ALANTRON BILISIM LTD STI.,10
Launchpad.com Inc. (R619-LRMS),10
Namecheap,10
GOOGLE INC.,10
GRANSY S.R.O D/B/A SUBREG.CZ,10
"HANGZHOU AIMING NETWORK CO.,LTD",10
"New Dream Network, LLC dba DreamHost Web Hosting (R173-LROR)",10
Gandi SAS (R42-LROR),10
WEB4AFRICA INC,9
Mesh Digital Limited (R1728-LROR),9
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),9
HOSTEUR SARL,9
"Domain.com,LLC (R656-LRMS)",9
"GoDaddy.com, Inc.",8
Nics Telekomunikasyon Ticaret Ltd. Sti. (R1812-LROR),8
Name.com LLC (R279-LRMS),8
UPPERLINK LIMITED,8
EASYSPACE LTD.,8
LCN.COM LTD.,8
BLACKNIGHT INTERNET SOLUTIONS LTD,8
SHANGHAI YOVOLE NETWORKS INC.,8
DOMAIN CENTRAL AUSTRALIA PTY LTD.,8
SIBERNAME INTERNET AND SOFTWARE TECHNOLOGIES INC.,8
"ELB GROUP, INC.",8
Key-Systems GmbH,8
SAFENAMES LTD,8
FBS Inc.,8
"MISK.COM, INC.",8
EPAG DOMAINSERVICES GMBH,8
"GO CHINA DOMAINS, LLC",8
Moniker Online Services LLC (R145-LROR),7
Enom,7
FastDomain Inc.,7
OVH (R268-LRMS),7
LOCAWEB SERVICOS DE INTERNET S/A DBA LOCAWEB,7
Tucows Domains Inc.,7
IP MIRROR PTE LTD. DBA IP MIRROR,7
UNIREGISTRAR CORP,7
"Network Solutions, LLC (R122-LRMS)",7
"Dynadot, LLC (R259-LRMS)",7
"Chengdu West Dimension Digital Technology Co., Ltd.",7
"DOTARAI CO,. LTD.",6
"INTERDOMINIOS, INC.",6
"Namesilo, LLC",6
Launchpad.com Inc.,6
"EASYDNS TECHNOLOGIES, INC.",6
MIJN INTERNETOPLOSSING B.V.,6
GUANGDONG JINWANBANG TECHNOLOGY INVESTMENT CO. LTD.,6
1 & 1 Internet AG,6
UNITED-DOMAINS AG,6
"Name.com, Inc.",6
FABULOUS.COM PTY LTD.,6
"Dynadot, LLC (R1266-LROR)",6
Mesh Digital Limited,6
"NETWORK INFORMATION CENTER MEXICO, S. C.",6
"OnlineNIC, Inc. (R170-LRMS)",6
10dencehispahard S.L. (CDmon.com),6
Net 4 India Limited (R1434-LROR),6
VODIEN INTERNET SOLUTIONS PTE LTD,6
OPENTLD B.V.,6
"WINGU NETWORKS, S.A DE C.V.",6
"DNC Holdings, Inc. (R48-LROR)",6
Chengdu west dimension digital,6
"GO AUSTRALIA DOMAINS, LLC",6
"Domain.com, LLC",5
"TECNOCRATICA CENTRO DE DATOS, S.L.",5
"Melbourne IT, Ltd",5
GoDaddy,5
TLDS L.L.C. d/b/a SRSPlus (R78-LROR),5
Regional Network Information Center JSC dba RU-CENTER (R2369-PRO),5
"ONLINENIC, INC. D/B/A CHINA-CHANNEL.COM",5
"Dynadot, LLC",5
"GKG.NET, INC. (R164-LROR)",5
ENom Inc.,5
"Go Daddy, LLC",5
WEB WERKS INDIA PVT. LTD D/B/A ZENREGISTRY.COM,5
FAST DOMAIN INC.,5
LiquidNet Ltd. (R1831-LROR),5
"NETEARTH ONE, INC.",5
UK-2 LIMITED,5
Crazy Domains FZ-LLC (R559-LRMS),5
MEGAZONE CORP. DBA HOSTING.KR,5
Nominalia,5
"IN2NET NETWORK, INC.",5
GENIOUS COMMUNICATIONS SARL/AU,5
XinNet Technology Corporation,5
SILICONHOUSE.NET PVT LTD.,5
"Namesilo, LLC (R1843-LROR)",5
VISESH INFOTECNICS LTD. D/B/A SIGNDOMAINS.COM,5
ASIA Registry R6-ASIA (700001),5
"GoDaddy.com, LLC (R3218-AGRS)",5
"Arsys Internet, S.L. dba NICLINE.COM (R144-LROR)",5
"COREHUB, S.R.L.",5
Internet Domain Service BS Corp,5
"GO FRANCE DOMAINS, LLC",5
NOM IQ LTD (DBA COM LAUDE),4
"MARCARIA.COM, INTERNATIONAL, INC.",4
CORE INTERNET COUNCIL OF REGISTRARS,4
Gandi SAS,4
"GO CANADA DOMAINS, LLC",4
NetEarth One Inc. d/b/a NetEarth (R1902-LROR),4
"REGISTER4LESS, INC.",4
MINDS AND MACHINES LLC,4
Cloud Group Limited (R212-LRMS),4
"IHS Telekom, Inc. (R1705-LROR)",4
"CLICK REGISTRAR, INC. D/B/A PUBLICDOMAINREGISTRY.COM",4
"Regional Network Information Center, JSC dba RU-CENTER",4
PDR Ltd. d/b/a PublicDomainRegistry.com R28-ASIA (303),4
"NAMEKING.COM, INC.",4
NHAN HOA SOFTWARE COMPANY LTD,4
Register.IT SPA (R124-LROR),4
"World Biz Domains, LLC (R613-LRMS)",4
CPS-DATENSYSTEME GMBH,4
"GO MONTENEGRO DOMAINS, LLC",4
Crazy Domains FZ-LLC,4
BB ONLINE UK LTD,4
DOTNAME KOREA CORP,4
Dinahosting s.l.,4
"0101 INTERNET, INC.",4
DOMAINSATCOST.CA CORP,4
"CATALOG.COM, INC.",4
URL SOLUTIONS INC.,4
Cloud Group Limited (R123-LROR),4
REBEL.COM CORP.,4
"Name.com, LLC",4
"BLUE RAZOR DOMAINS, LLC",4
"Regional Network Information Center, JSC dba RU-CENTER (R383-LRMS)",4
Name.com,4
"DOMAINSHYPE.COM, INC.",4
"Arsys Internet, S.L. dba NICLINE.COM",4
Namecheap Inc.,3
"GMO Internet, Inc. d/b/a Onamae.com (R110-LRMS)",3
INTERNETWORX LTD. & CO. KG,3
LAUNCHPAD.COM INC.,3
DOTROLL KFT.,3
"22NET, INC.",3
NAME.COM,3
Moniker Online Services LLC (R245-LRMS),3
"New Dream Network, LLC dba DreamHost Web Hosting",3
"MONIKER ONLINE SERVICES, LLC",3
HETZNER ONLINE AG,3
"Melbourne IT, Ltd (R141-LRMS)",3
"Soluciones Corporativas IP, SLU (R1795-LROR)",3
"NET-CHINESE CO., LTD.",3
SYNERGY WHOLESALE PTY LTD,3
Net 4 India Limited,3
"Internet Invest, Ltd. dba Imena.ua (R1723-LROR)",3
1&1 Internet AG,3
"Deluxe Small Business Sales, Inc. d/b/a Aplus.net (R14-LROR)",3
DOMENESHOP AS,3
Name.com LLC,3
ABOVE.COM PTY LTD.,3
NORDNET,3
"Name.com, inc.",3
"BRANDON GRAY INTERNET SERVICES INC. (dba ""NameJuice.com"") (R1322-LROR)",3
KOREA INFORMATION CERTIFICATE AUTHORITY INC DBA DOMAINCA.COM,3
"Namesilo, LLC (R620-LRMS)",3
"Regional Network Information Center, JSC dba RU-CENTER (R148-LROR)",3
FBS Inc. (R551-LRMS),3
Uniregistry,3
"Vitalwerks Internet Solutions, LLC (R1731-LROR)",3
"Dynamic Network Services, Inc. (R377-LRMS)",3
"Dynamic Network Services, Inc.",3
Internet.bs Corp. (R457-LRMS),3
EuroDNS S.A. (R1721-LROR),3
"OnlineNIC, Inc.",3
EvoPlus Ltd. (R1823-LROR),3
CJSC REGISTRAR R01,3
1API GmbH,3
WORLD4YOU INTERNET SERVICES GMBH,3
TOTAL WEB SOLUTIONS LIMITED TRADING AS TOTALREGISTRATIONS,3
PAPAKI LTD,3
NETART SP Z O.O,3
TUCOWS.COM CO.,3
MAILCLUB SAS,3
"Register.com, Inc.",3
"TURNCOMMERCE, INC. DBA NAMEBRIGHT.COM",3
PlanetDomain Pty Ltd (R134-LROR),3
"eNom, Inc. (R3212-AGRS)",3
Paragon Internet Group Ltd,3
"GMO Internet, Inc. d/b/a Onamae.com (49)",3
"EPIK, INC.",3
REBEL.CA CORP.,3
WEBNAMES.CA INC.,3
"JAPAN REGISTRY SERVICES CO., LTD.",3
"CHENGDU FLY-DIGITAL TECHNOLOGY CO., LTD",3
"NAMEPAL.COM, LLC",3
"GMO Internet, Inc. d/b/a Onamae.com (R43-LROR)",3
"Limited Liability Company ""Registrar of domain names REG.RU"" (R1943-LROR)",3
"INAMES CO., LTD.",3
Neubox Internet S.A. de C.V. (R1857-LROR),3
CV. Jogjacamp,3
Dattatec.com SRL,3
"TODAYNIC.COM, INC.",3
Xin Net Corp,3
TLD Registrar Solutions Ltd. (R2011-LROR),3
Uniregistrar Corp,3
HOSTINGER UAB,2
Instra Corporation Pty Ltd. (R1729-LROR),2
"Tucows Domains, Inc.",2
Easyspace Limited (R36-LROR),2
CV. Jogjacamp (R1830-LROR),2
ATAK DOMAIN HOSTING INTERNET VE BILGI TEKNOLOJILERI LIMITED SIRKETI D/B/A ATAK TEKNOLOJI,2
CSL Computer Service Langenbach GmbH d/b/a joker.com a German GmbH (R25-LROR),2
PAIR NETWORKS INC.D/B/A PAIRNIC,2
"GLOBAL DOMAINS INTERNATIONAL, INC.",2
"Soluciones Corporativas IP, SLU (R544-LRMS)",2
"PSI-USA, Inc. dba Domain Robot (R68-LROR)",2
Hichina Zhicheng Technology Limited (R1373-LROR),2
DOMAIN THE NET TECHNOLOGIES LTD.,2
DYNADOT LLC,2
FOSHAN YIDONG NETWORK CO. LTD,2
MELBOURNE IT LTD,2
Realtime Register B.V. (R1336-LROR),2
Arsys,2
"NETDORM, INC. DBA DNSEXIT.COM",2
"XIAMEN CHINASOURCE INTERNET SERVICE CO., LTD.",2
"101DOMAIN, INC.",2
"VITALWERKS INTERNET SOLUTIONS, LLC",2
FBS Internet Technology Uluslarasi Ltd.sti,2
SAFEBRANDS SAS,2
Crazy Domains FZ-LLC Dreamscape,2
"LLC ""REGISTRAR OF DOMAIN NAMES REG.RU""",2
"PSI-USA, Inc. dba Domain Robot",2
"GMO Internet, Inc. d/b/a Onamae.com",2
"Net-Chinese Co., Ltd. (R1573-LROR)",2
SiliconHouse.Net Pvt. Ltd. (R1901-LROR),2
1&1 INTERNET AG,2
"DomainPeople, Inc. (R30-LROR)",2
TLD Registrar Solutions Ltd.,2
Xin Net Technology Corporation (R118-LROR),2
UBER AUSTRALIA E1 PTY LTD.,2
"Go France Domains, LLC (R1555-LROR)",2
"10dencehispahard, S.L.",2
Gransy s.r.o. d/b/a subreg.cz (R612-LRMS),2
NETTUNER CORP. DBA WEBMASTERS.COM,2
"WEB COMMERCE COMMUNICATIONS, LTD.",2
NET LOGISTICS PTY LTD.,2
WEB WERKS INDIA PVT. LTD.,2
Online SAS (R99-LROR),2
"XIAMEN NAWANG TECHNOLOGY CO., LTD",2
Register.IT SPA,2
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA (R76-LROR)",2
Nominalia Internet S.L. (R89-LROR),2
"Encirca, Inc. (R2366-PRO)",2
Registrar of Domain Names REG.RU LLC (R1943-LROR),2
Mat Bao Trading & Service Company Limited d/b/a Mat Bao (R654-LRMS),2
LCN.COM Ltd. (R1285-LROR),2
Gransy s.r.o. d/b/a subreg.cz,2
DOMAINCLUB.COM LLC,2
"WILD WEST DOMAINS, INC.",2
"Registrar of Domain Names REG.RU, LLC",2
1API GmbH (1387),2
"Registration Technologies, Inc. (R72-LROR)",2
Dattatec.com SRL (R523-LRMS),2
"DomainContext, Inc. (R1744-LROR)",2
"COSMOTOWN, INC.",2
"SOLUCIONES CORPORATIVAS IP, SL",2
INTERWEB ADVERTISING D.B.A. PROFILE BUILDER,2
1API GMBH,2
Fastdomain Inc. (R397-LRMS),2
Online SAS (R197-LRMS),2
LiquidNet Ltd.,2
"KOREACENTER.COM CO., LTD",2
PDR Ltd,2
NAMESPRO SOLUTIONS INC.,2
DomainContext Inc. (R524-LRMS),2
"101domain, Inc.",2
Gransy s.r.o. d/b/a subreg.cz (R2363-PRO),2
HOSTING UKRAINE LLC,2
"REGISTRATION TECHNOLOGIES, INC.",2
HTTP.NET INTERNET GMBH,2
Melbourne IT Limited,2
DYNADOT4 LLC,2
OnlineNIC Inc.,2
"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",2
"PSI-USA, Inc. dba Domain Robot (R207-LRMS)",2
EvoPlus Ltd. (R589-LRMS),2
"WEBAIR INTERNET DEVELOPMENT, INC.",2
"NETPIA.COM, INC.",2
United-domains AG (R599-LRMS),2
Gal Communication (CommuniGal) Ltd. (R41-LROR),2
PDR Ltd. d/b/a PublicDomainRegistry.com (R3274-AGRS),2
BigRock Solutions Ltd. R237-ASIA (1495),2
"Tecnocratica Centro de Datos, S.L.",2
SERVER PLAN SRL,2
HOOYOO INFORMATION TECHNOLOGY CO.LTD.,2
"BOTTLE DOMAINS, INC.",2
Name.com LLC (R2371-PRO),2
"NAMECHEAP, INC.",2
Web Commerce Communications Limited dba WebNic.cc,2
LEXSYNERGY LIMITED,2
PAKNIC (PRIVATE) LIMITED,2
Crazy Domains,2
"HANILNETWORKS CO., LTD.",2
Vautron Rechenzentrum AG (R567-LRMS),2
"PORTLANDNAMES.COM, LLC",1
P.A. Viet Nam Company Limited (R1970-LROR),1
REGISTER.CA INC.,1
DROPWEEK.COM,1
"DOMAINNAME BRIDGE, INC.",1
DOTMEDIA LIMITED,1
Reg2C.com Inc. (R1358-LROR),1
AlpNames Limited,1
CPS-Datensystems GmbH (R1464-LROR),1
DROPCATCH.COM 599 LLC,1
MINDS + MACHINES REGISTRAR LIMITED,1
Open SRS,1
PAKNIC LIMITED,1
"DNC Holdings, Inc.",1
Dynadot LLC,1
101Domain,1
"ARAB INTERNET NAMES, INCORPORATED",1
DOMUS ENTERPRISES LLC DBA DOMUS,1
Tucows.com Co. (R2334-PRO),1
Minds and Machines LLC,1
Blacknight Internet Solutions Ltd. (R1806-LROR),1
TLD Registrar Solutions Ltd. (R724-LRMS),1
DIGIRATI INFORMATICA SERVICOS E TELECOMUNICACOES LTDA DBA HOSTNET.COM,1
"GONAME-TX.COM, INC.",1
"Catalog.com, Inc (R98-LROR)",1
NICS TELEKOMUNIKASYON TICARET LTD. STI.,1
"Vitalwerks Internet Solutions, LLC DBA No-IP (R1731-LROR)",1
"DOMAINHOSTINGWEB, LLC",1
"CAT, INC. D/B/A NAMEZERO.COM",1
DOMAININFO AB D/B/A DOMAININFO.COM,1
"ENTORNO DIGITAL, S.A.",1
BIGROCK SOLUTIONS LTD.,1
NetArt Registrar Sp. z o.o. (R1808-LROR),1
Gabia Inc. (R84-LROR),1
MAFF INC.,1
"TECNOLOGIA, DESARROLLO Y MERCADO S. DE R.L. DE C.V.",1
Nhan Hoa Software Company Ltd.,1
"ASADAL, INC.",1
PlanetDomain Pty Ltd,1
Fastdomain Inc.,1
Spot Domain LLC dba Domainsite.com (R87-LROR),1
FRENCH CONNEXION DBA DOMAINE.FR,1
"Everyones Internet, Ltd. dba SoftLayer",1
"Go China Domains, LLC (R1559-LROR)",1
"DOMAINREGISTRY.COM, INC.",1
DESCHUTESDOMAINS.COM LLC,1
"HANGZHOU DIANSHANG INTERNET TECHNOLOGY CO., LTD.",1
ARSYS INTERNET SL DBA NICLINE.COM,1
REGISTER NV DBA REGISTER.EU,1
"Limited Liability Company ""Registrar of domain names REG.RU"" (R681-LRMS)",1
DomainRegi LLC (R602-LRMS),1
"Bizcn.com, Inc. (R1248-LROR)",1
"DomainContext, Inc.",1
TierraNet Inc. dba DomainDiscover (R86-LROR),1
"DOMAINNAME, INC.",1
OREGONEU.COM LLC,1
"Acens Technologies, S.L.U. (R49-LROR)",1
"FUNPEAS MEDIA VENTURES, LLC DBA DOMAINPROCESSOR.COM",1
Spot Domain LLC dba Domainsite.com (R263-LRMS),1
Nominalia Internet S.L.,1
Ourdomains Limited (R1972-LROR),1
Tucows.com Co.,1
Onlinenic Inc,1
"NameCheap, Inc.",1
OVH SARL,1
RETHEM HOSTING LLC,1
"Todaynic.com, Inc.",1
"NAME117, INC.",1
EuroDNS SA (R2374-PRO),1
HETZNER ONLINE GMBH,1
ShenZhen HuLianXianFeng Technology,1
TLDS L.L.C. d/b/a SRSPlus,1
Crazy Domains FZ-LLC R189-ASIA (1291),1
GUANGDONG NAISINIKE INFORMATION TECHNOLOGY CO LTD.,1
DIAMATRIX C.C.,1
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",1
"World Biz Domains, LLC (R1856-LROR)",1
DOMAIN NAME NETWORK PTY LTD,1
LOGICBOXES NAMING SERVICES LTD,1
Key-Systems GmbH (R124-LRMS),1
ALPNAMES LIMITED,1
BIGLIZARDDOMAINS.COM LLC,1
TPP Wholesale Pty Ltd,1
CV. Rumahweb Indonesia,1
"WORLD BIZ DOMAINS, LLC",1
Gransy s.r.o. d/b/a subreg.cz (R1863-LROR),1
InterNetworX Ltd. & Co. KG (R537-LRMS),1
Tucows Domains Inc. (69),1
NetArt Registrar Sp. z o.o. (R581-LRMS),1
"Domain.com,LLC",1
Soluciones Corporativas IP SLU (R2347-PRO),1
YESNIC CO. LTD.,1
REGISTER.IT SPA (R228-LRMS),1
"THREADAGENT.COM, INC.",1
URL Solutions Inc.,1
"Az.pl, Inc (R463-LRMS)",1
BADGER INC,1
2030138 ONTARIO INC. DBA NAMESBEYOND.COM AND DBA GOODLUCKDOMAIN.COM,1
Web4Africa Inc. (R1311-LROR),1
EVOPLUS LTD.,1
Inames Co. Ltd. (R146-LROR),1
Crazy Domains FZ - LLC,1
DROPFALL.COM INC,1
Namebay (R54-LROR),1
TPP Wholesale Pty Ltd (R1378-LROR),1
Cloud Group Limited,1
Euro DNS,1
Mesh Digital Ltd,1
"Whois Networks Co., Ltd. (R82-LROR)",1
United-domains AG,1
"HANGANG SYSTEMS, INC. D/B/A DOREGI.COM",1
Melbourne IT,1
"NIUEDOMAINS, LLC",1
NetArt Sp z o.o,1
ASTUTIUM LIMITED,1
Freeparking Domain Registrars Inc. (R305-LRMS),1
NORDREG AB,1
SPOT DOMAIN LLC,1
LIGNE WEB SERVICES SARL,1
"pair Networks, Inc.d/b/a pairNIC",1
INIC GMBH,1
TECHORUS INC.,1
DROPCATCH.COM 574 LLC,1
easyDNS Technologies Inc. (R1247-LROR),1
DEMYS LIMITED,1
1API GmbH (R1724-LROR),1
"DYNAMIC NETWORK SERVICES, INC.",1
P.A. Viet Nam Company Limited (R684-LRMS),1
Server Plan Srl Unipersonale,1
DROPCATCH.COM 576 LLC,1
ZNET TECHNOLOGIES PVT LTD. D/B/A LEMONREGISTRY.COM,1
TierraNet Inc. dba DomainDiscover (R183-LRMS),1
Encirca Inc. (R231-LRMS),1
Ligne Web Services,1
"Acens Technologies, S.L.U.",1
"Japan Registry Services, Co. Ltd",1
"Foshan YiDong Network Co., LTD",1
"NETLYNX, INC.",1
"NameSilo, LLC (1479)",1
"007Names, Inc.",1
"NAME2HOST, INC. DBA NAME2HOST.COM",1
AEROTEK BILISIM SANAYI VE TICARET AS,1
VENTRAIP GROUP (AUSTRALIA) PTY LTD TRADING AS VENTRAIP WHOLESALE,1
Ilait AB,1
SiliconHouse.Net Pvt. Ltd.,1
Name.com LLC (625),1
"Everyones Internet, Ltd. dba SoftLayer (R1381-LROR)",1
"DomainRegi, LLC (R1842-LROR)",1
"CSC Corporate Domains, Inc. (R24-LROR)",1
Mesh Digital Limited (R517-LRMS),1
Estrategias WebSite S.L. (R1917-LROR),1
"GLOBAL DOMAINS INTERNATIONAL, INC. DBA DOMAINCOSTCLUB.COM",1
RegistryGate GmbH (R428-LRMS),1
BINERO AB,1
Neubox Internet S.A. de C.V.,1
HANG ZHOU E-BUSINESS SERVICES CO.LTD.,1
KHEWEUL.COM SA,1
"OnlineNIC, Inc. R93-ASIA (82)",1
Vautron Rechenzentrum AG (R1782-LROR),1
"EnCirca, Inc (455)",1
THE REGISTRAR COMPANY B.V.,1
PT Ardh Global Indonesia (R1844-LROR),1
ZOOMREGISTRAR LLC,1
"WEB SITE SOURCE, INC",1
"Internet Invest, Ltd. dba Imena.ua (R503-LRMS)",1
Gabia Inc.,1
Web4Africa Inc.,1
Spot Domain LLC dba Domainsite.com,1
"WHT CO., LTD",1
FBS Inc,1
Dinahosting S.L. (R1469-LROR),1
Host Europe Group,1
"New Dream Network, LLC dba DreamHost Web Hosting (R264-LRMS)",1
ZIGZAGNAMES.COM LLC,1
TLD Registrar Solutions Ltd,1
Crazy Domains FZ-LLC (R1789-LROR),1
"WHITE ALLIGATOR DOMAINS, LLC",1
KUWAITNET GENERAL TRADING CO.,1
Hosting Concepts B.V. d/b/a Openprovider (R1965-LROR),1
"Click Registrar, Inc. dba publicdomainregistry.com (R673-LRMS)",1
Realtime Register B.V. R168-ASIA (839),1
