registrarname,domains
ACTIVE 24 AS,246694
NET 4 INDIA LIMITED,244222
ACRC DOMAINS,242912
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",241435
HOSTOPIA.COM INC. D/B/A APLUS.NET,240816
REGISTRAR OF DOMAIN NAMES REG.RU LLC,239200
HOSTING CONCEPTS B.V. D/B/A OPENPROVIDER,238997
ONLINE SAS,237627
Enom,234973
"Domain.com, LLC",234399
"Register.com, Inc. (R71-LROR)",234306
FastDomain Inc.,228011
CORE INTERNET COUNCIL OF REGISTRARS,220108
"REG2C.COM, INC.",220095
"Melbourne IT, Ltd (R52-LROR)",219876
1&1 INTERNET AG,216849
"XIAMEN CHINASOURCE INTERNET SERVICE CO., LTD.",215579
"DELUXE SMALL BUSINESS SALES, INC. D/B/A APLUS.NET",209771
FOSHAN YIDONG NETWORK CO. LTD,208136
OVH (R135-LROR),207966
EURODNS S.A,205781
NETREGISTRY PTY. LTD.,205407
TLD REGISTRAR SOLUTIONS LTD,205029
"EPIK, INC.",204616
Key-Systems GmbH (R51-LROR),201957
"CSC Corporate Domains, Inc.",200238
EJEE Group Holdings Limited,199271
Xin Net Technology Corp.,197397
TUCOWS.COM CO.,196648
DINAHOSTING SL,194983
"WHOISNETWORKS CO., LTD.",194659
"XIAMEN NAWANG TECHNOLOGY CO., LTD",192792
1API GmbH,192690
NAMEBAY,187009
INTERWEB ADVERTISING D.B.A. PROFILE BUILDER,186160
DATTATEC.COM SRL,185325
Jiangsu bangning science  technology Co,185085
"TODAYNIC.COM, INC.",183366
"GKG.NET, INC.",181677
APRIL SEA INFORMATION TECHNOLOGY CORPORATION,181356
MAFF INC.,179523
"INAMES CO., LTD.",179457
ASIA Registry R6-ASIA (9996),175035
TPP WHOLESALE PTY LTD.,174306
"INSTRA CORPORATION PTY, LTD.",174243
"NETWORK SOLUTIONS, LLC",162235
"EVERYONES INTERNET, LTD. DBA SOFTLAYER",160948
"Melbourne IT, Ltd",160928
GoDaddy,160786
"NAME SHARE, INC",159827
P.A. VIET NAM COMPANY LIMITED,158797
EASYSPACE LTD.,155626
DOTNAME KOREA CORP,154872
"10DENCEHISPAHARD, S.L",153812
Key-Systems GmbH (R124-LRMS),152920
"WILD WEST DOMAINS, INC.",152119
LCN.COM LTD.,151897
NAMESECURE.COM,150512
"DOMAINSITE, INC.",149555
Mesh Digital Limited (R1728-LROR),147712
ENom Inc.,147409
TLD Registrar Solutions Ltd,145416
EVOPLUS LTD,145293
SAFENAMES LTD,144155
"Chengdu West Dimension Digital Technology Co., LTD",144146
Afilias Special Projects,144127
LIQUIDNET LTD.,143909
HEBEI GUOJI MAOYI (SHANGHAI) LTD DBA HEBEIDOMAINS.COM,143541
GRANSY S.R.O D/B/A SUBREG.CZ,142931
"Name.com, LLC (R1288-LROR)",142348
MarkMonitor Inc.,139125
"OMNIS NETWORK, LLC",138914
DOMENESHOP AS,138619
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA (R76-LROR)",137646
Afilias Special Projects (R556-LRMS),135590
Key-Systems LLC,135418
"CHENGDU FLY-DIGITAL TECHNOLOGY CO., LTD",134778
Google Inc.,132566
"Name.com, LLC",132348
Name.com LLC,128412
"DYNAMIC NETWORK SERVICES, INC",128109
"SOLUCIONES CORPORATIVAS IP,SLU",127807
"Registrar of Domain Names REG.RU, LLC",127706
NOMINALIA INTERNET S.L.,127454
LOCAWEB SERVICOS DE INTERNET S/A DBA LOCAWEB,127302
"Hostinger, UAB",127059
YESNIC CO. LTD.,126638
OVH SARL,126400
HETZNER ONLINE AG,125947
Gandi SAS (R42-LROR),125022
MAT BAO TRADING & SERVICE COMPANY LIMITED D/B/A MAT BAO,124428
MELBOURNE IT LTD,123407
"EIMS (SHENZHEN) CULTURE & TECHNOLOGY CO., LTD",122809
"SOLUCIONES CORPORATIVAS IP, SL",122593
OVH sas,122391
Tucows,121363
CV. RUMAHWEB INDONESIA,121253
HETZNER ONLINE GMBH,120772
NETART REGISTRAR SP. Z O.O.,117958
22net Inc,116823
Crazy Domains FZ-LLC,116002
OVH (R268-LRMS),112006
PDR Ltd. d/b/a PublicDomainRegistry.com (R159-LRMS),111718
Vautron Rechenzentrum AG,111333
MIJN INTERNETOPLOSSING B.V.,110841
HANG ZHOU E-BUSINESS SERVICES CO.LTD.,110039
PIR Special Projects,109729
REBEL.COM CORP.,109230
Moniker Online Services LLC (R145-LROR),108695
"PSI-USA, Inc. dba Domain Robot (R68-LROR)",107594
"New Dream Network, LLC dba DreamHost Web Hosting (R173-LROR)",107560
PAIR NETWORKS INC.D/B/A PAIRNIC,107305
GAL COMMUNICATION (COMMUNIGAL) LTD.,107188
"CSC Corporate Domains, Inc. (R24-LROR)",103050
"Dynadot, LLC",102841
"OnlineNIC, Inc.",102629
PIR Special Projects (R1776-LROR),101132
GUANGDONG NAISINIKE INFORMATION TECHNOLOGY CO LTD,101052
"LLC ""REGISTRAR OF DOMAIN NAMES REG.RU""",100822
"PSI-USA, Inc. dba DOMAIN ROBOT",100362
HOSTINGER UAB,100161
US RESERVE ACCOUNT D,100000
"GO AUSTRALIA DOMAINS, LLC",99570
"Regional Network Information Center, JSC dba RU-CENTER",99518
Cronon AG (R199-LRMS),99291
ESTRATEGIAS WEBSITE S.L.,99059
BIZCN COM  INC,98758
Hichina Zhicheng Technology Limited,98553
"PSI-USA, Inc. dba Domain Robot (R207-LRMS)",98344
"GO FRANCE DOMAINS, LLC",98046
DOMAINWARDS.COM LLC,97354
"GO CANADA DOMAINS, LLC",96499
NORDNET,96484
Network Solutions Inc.,96388
"Key-Systems, LLC",96312
"IN2NET NETWORK, INC.",95972
"EASYDNS TECHNOLOGIES, INC.",95601
Crazy Domains FZ-LLC (R559-LRMS),95478
"GO CHINA DOMAINS, LLC",94857
"GO MONTENEGRO DOMAINS, LLC",94204
DEUTSCHE TELEKOM AG,94067
Mesh Digital Limited (R517-LRMS),93892
us Reserve Account D,93775
