,country,domains,share
0,United States,"152,527,872",56.72
1,China,"24,098,150",8.96
2,Germany,"18,044,735",6.71
3,Canada,"16,704,693",6.21
4,India,"11,135,408",4.14
5,Japan,"7,935,585",2.95
6,Australia,"6,425,896",2.39
7,France,"4,988,581",1.86
8,United Kingdom,"4,511,714",1.68
9,Turkey,"2,418,232",0.9
