tld,Sunrise (Start/End Date Sunrise),open,close
photo,End Date Sunrise,28-Jan-14,29-Mar-14
hiphop,End Date Sunrise,5-Jun-14,19-Aug-14
blackfriday,End Date Sunrise,1-May-14,30-Jun-14
christmas,End Date Sunrise,1-May-14,30-Jun-14
audio,End Date Sunrise,5-Jun-14,19-Aug-14
juegos,End Date Sunrise,5-Jun-14,19-Aug-14
melbourne,End Date Sunrise,29-Jul-14,27-Sep-14
xn--6qq986b3xl,Start Date Sunrise,6-Nov-14,12-Dec-14
work,End Date Sunrise,5-Nov-14,5-Jan-15
casa,End Date Sunrise,5-Nov-14,5-Jan-15
science,End Date Sunrise,8-Dec-14,6-Feb-15
yoga,End Date Sunrise,5-Nov-14,5-Jan-15
cricket,End Date Sunrise,8-Dec-14,6-Feb-15
nra,Spec 13 - .BRAND TLD,,
party,End Date Sunrise,8-Dec-14,6-Feb-15
otsuka,Spec 13 - .BRAND TLD,,
bmw,Spec 13 - .BRAND TLD,,
sydney,End Date Sunrise,4-Dec-14,3-Feb-15
mini,Spec 13 - .BRAND TLD,,
nyc,Start Date Sunrise,5-May-14,20-Jun-14
space,End Date Sunrise,17-Nov-14,16-Jan-15
vlaanderen,Start Date Sunrise,1-Sep-14,1-Oct-14
brussels,Start Date Sunrise,1-Sep-14,1-Oct-14
xn--kput3i,Start Date Sunrise,1-Dec-14,31-Dec-14
cymru,End Date Sunrise,1-Sep-14,31-Oct-14
wales,End Date Sunrise,1-Sep-14,31-Oct-14
xn--d1acj3b,End Date Sunrise,7-Apr-14,6-Jun-14
REST,End Date Sunrise,9-Apr-14,8-Jun-14
BAR,End Date Sunrise,9-Apr-14,8-Jun-14
band,End Date Sunrise,18-Nov-14,17-Jan-15
rip,End Date Sunrise,18-Nov-14,17-Jan-15
forsale,End Date Sunrise,11-Nov-14,10-Jan-15
BNPPARIBAS,Spec 13 - .BRAND TLD,,
bayern,End Date Sunrise,1-Jul-14,2-Sep-14
desi,End Date Sunrise,16-Jun-14,16-Aug-14
moe,Start Date Sunrise,13-May-14,13-Jun-14
saarland,End Date Sunrise,17-Jul-14,15-Sep-14
soy,End Date Sunrise,24-Jul-14,24-Sep-14
TOKYO,End Date Sunrise,7-Apr-14,6-Jun-14
LTDA,Start Date Sunrise,29-Oct-14,28-Nov-14
zone,End Date Sunrise,18-Feb-14,19-Apr-14
world,End Date Sunrise,4-Nov-14,3-Jan-15
xn--3bst00m,Start Date Sunrise,29-Oct-14,28-Nov-14
business,End Date Sunrise,30-Sep-14,29-Nov-14
network,End Date Sunrise,30-Sep-14,29-Nov-14
pizza,End Date Sunrise,30-Sep-14,29-Nov-14
immo,End Date Sunrise,30-Sep-14,29-Nov-14
dentist,End Date Sunrise,14-Oct-14,13-Dec-14
degree,End Date Sunrise,4-Nov-14,3-Jan-15
surf,End Date Sunrise,10-Jul-14,10-Sep-14
beer,End Date Sunrise,10-Jul-14,10-Sep-14
rehab,End Date Sunrise,14-Oct-14,13-Dec-14
gives,End Date Sunrise,4-Nov-14,3-Jan-15
neustar,Spec 13 - .BRAND TLD,,
hosting,End Date Sunrise,3-Sep-14,3-Nov-14
property,End Date Sunrise,3-Sep-14,3-Nov-14
click,End Date Sunrise,3-Sep-14,3-Nov-14
help,End Date Sunrise,3-Sep-14,3-Nov-14
diet,End Date Sunrise,3-Sep-14,3-Nov-14
mortgage,End Date Sunrise,26-Aug-14,25-Oct-14
attorney,End Date Sunrise,29-Jul-14,27-Sep-14
lawyer,End Date Sunrise,29-Jul-14,27-Sep-14
market,End Date Sunrise,26-Aug-14,25-Oct-14
auction,End Date Sunrise,30-Sep-14,29-Nov-14
software,End Date Sunrise,30-Sep-14,29-Nov-14
vet,End Date Sunrise,12-Aug-14,11-Oct-14
airforce,End Date Sunrise,12-Aug-14,11-Oct-14
navy,End Date Sunrise,12-Aug-14,11-Oct-14
army,End Date Sunrise,12-Aug-14,11-Oct-14
engineer,End Date Sunrise,9-Sep-14,8-Nov-14
london,End Date Sunrise,29-Apr-14,31-Jul-14
gifts,End Date Sunrise,2-Sep-14,1-Nov-14
restaurant,End Date Sunrise,2-Sep-14,1-Nov-14
sarl,End Date Sunrise,2-Sep-14,1-Nov-14
xn--4gbrim,Start Date Sunrise,16-Sep-14,17-Nov-14
healthcare,End Date Sunrise,12-Aug-14,11-Oct-14
bio,End Date Sunrise,11-Jun-14,10-Aug-14
CAREER,End Date Sunrise,16-Jun-14,17-Aug-14
deals,End Date Sunrise,22-Jul-14,20-Sep-14
city,End Date Sunrise,29-Jul-14,27-Sep-14
physio,End Date Sunrise,1-Sep-14,31-Oct-14
place,End Date Sunrise,15-Jul-14,13-Sep-14
direct,End Date Sunrise,15-Jul-14,13-Sep-14
durban,End Date Sunrise,1-Jul-14,1-Oct-14
joburg,End Date Sunrise,1-Jul-14,1-Oct-14
capetown,End Date Sunrise,1-Jul-14,1-Oct-14
okinawa,End Date Sunrise,1-Jul-14,30-Aug-14
ryukyu,End Date Sunrise,20-Oct-14,19-Dec-14
xn--cg4bki,End Date Sunrise,1-Jul-14,30-Aug-14
wiki,End Date Sunrise,3-Mar-14,5-May-14
host,End Date Sunrise,24-Jun-14,23-Aug-14
republican,End Date Sunrise,2-Jul-14,1-Sep-14
press,End Date Sunrise,24-Jun-14,23-Aug-14
xn--ses554g,Start Date Sunrise,3-Jun-14,3-Jul-14
website,End Date Sunrise,24-Jun-14,23-Aug-14
xn--rhqv96g,End Date Sunrise,2-Apr-14,10-Jun-14
guide,End Date Sunrise,8-Jul-14,6-Sep-14
loans,End Date Sunrise,8-Jul-14,6-Sep-14
church,End Date Sunrise,8-Jul-14,6-Sep-14
life,End Date Sunrise,8-Jul-14,6-Sep-14
accountants,End Date Sunrise,1-Jul-14,30-Aug-14
creditcard,End Date Sunrise,24-Jun-14,23-Aug-14
digital,End Date Sunrise,1-Jul-14,30-Aug-14
finance,End Date Sunrise,1-Jul-14,30-Aug-14
insure,End Date Sunrise,1-Jul-14,30-Aug-14
credit,End Date Sunrise,24-Jun-14,23-Aug-14
claims,End Date Sunrise,24-Jun-14,23-Aug-14
xn--io0a7i,Start Date Sunrise,1-Jul-14,31-Jul-14
xn--55qx5d,Start Date Sunrise,1-Jul-14,31-Jul-14
Jetzt,End Date Sunrise,2-Apr-14,2-Jun-14
reviews,End Date Sunrise,26-Feb-14,28-Apr-14
futbol,End Date Sunrise,26-Feb-14,28-Apr-14
globo,Start Date Sunrise,9-Jun-14,9-Jul-14
wtf,End Date Sunrise,27-May-14,26-Jul-14
clinic,End Date Sunrise,3-Jun-14,2-Aug-14
furniture,End Date Sunrise,17-Jun-14,16-Aug-14
exchange,End Date Sunrise,6-May-14,5-Jul-14
limited,End Date Sunrise,27-May-14,26-Jul-14
discount,End Date Sunrise,17-Jun-14,16-Aug-14
fund,End Date Sunrise,10-Jun-14,9-Aug-14
cash,End Date Sunrise,10-Jun-14,9-Aug-14
care,End Date Sunrise,3-Jun-14,2-Aug-14
fitness,End Date Sunrise,17-Jun-14,16-Aug-14
schule,End Date Sunrise,17-Jun-14,16-Aug-14
gratis,End Date Sunrise,24-Jun-14,23-Aug-14
media,End Date Sunrise,13-May-14,12-Jul-14
associates,End Date Sunrise,13-May-14,12-Jul-14
pictures,End Date Sunrise,13-May-14,12-Jul-14
lease,End Date Sunrise,13-May-14,12-Jul-14
services,End Date Sunrise,29-Apr-14,28-Jun-14
university,End Date Sunrise,20-May-14,19-Jul-14
reisen,End Date Sunrise,20-May-14,19-Jul-14
town,End Date Sunrise,20-May-14,19-Jul-14
toys,End Date Sunrise,20-May-14,19-Jul-14
gripe,End Date Sunrise,6-May-14,5-Jul-14
engineering,End Date Sunrise,6-May-14,5-Jul-14
capital,End Date Sunrise,6-May-14,5-Jul-14
cleaning,End Date Sunrise,8-Apr-14,7-Jun-14
fail,End Date Sunrise,27-May-14,26-Jul-14
dental,End Date Sunrise,3-Jun-14,2-Aug-14
surgery,End Date Sunrise,3-Jun-14,2-Aug-14
financial,End Date Sunrise,27-May-14,26-Jul-14
tax,End Date Sunrise,10-Jun-14,9-Aug-14
investments,End Date Sunrise,10-Jun-14,9-Aug-14
xyz,End Date Sunrise,20-Mar-14,20-May-14
xn--3ds443g,End Date Sunrise,16-Jan-14,17-Mar-14
xn--fiq228c5hs,End Date Sunrise,16-Jan-14,17-Mar-14
rocks,End Date Sunrise,30-Apr-14,30-Jun-14
haus,End Date Sunrise,14-May-14,14-Jul-14
consulting,End Date Sunrise,16-Apr-14,16-Jun-14
xn--80aswg,End Date Sunrise,16-Jan-14,18-Mar-14
voting,Start Date Sunrise,15-Apr-14,16-May-14
xn--80asehdb,End Date Sunrise,16-Jan-14,18-Mar-14
wed,Start Date Sunrise,17-Mar-14,18-Apr-14
koeln,Start Date Sunrise,12-Jun-14,13-Jul-14
QPON,Start Date Sunrise,2-Apr-14,2-May-14
marketing,End Date Sunrise,4-Feb-14,5-Apr-14
holiday,End Date Sunrise,4-Feb-14,5-Apr-14
tips,End Date Sunrise,17-Dec-13,15-Feb-14
voyage,End Date Sunrise,17-Dec-13,15-Feb-14
diamonds,End Date Sunrise,17-Dec-13,15-Feb-14
cheap,End Date Sunrise,18-Feb-14,19-Apr-14
xn--q9jyb4c,End Date Sunrise,9-Dec-13,14-Feb-14
enterprises,End Date Sunrise,17-Dec-13,15-Feb-14
menu,End Date Sunrise,9-Dec-13,7-Feb-14
build,End Date Sunrise,27-Jan-14,28-Mar-14
farm,End Date Sunrise,11-Feb-14,12-Apr-14
Uno,End Date Sunrise,9-Dec-13,7-Feb-14
viajes,End Date Sunrise,11-Feb-14,12-Apr-14
ninja,End Date Sunrise,19-Feb-14,21-Apr-14
center,End Date Sunrise,7-Jan-14,8-Mar-14
company,End Date Sunrise,31-Dec-13,8-Mar-14
academy,End Date Sunrise,7-Jan-14,8-Mar-14
computer,End Date Sunrise,7-Jan-14,8-Mar-14
cab,End Date Sunrise,31-Dec-13,1-Mar-14
domains,End Date Sunrise,31-Dec-13,1-Mar-14
agency,End Date Sunrise,18-Feb-14,19-Apr-14
systems,End Date Sunrise,7-Jan-14,8-Mar-14
KIWI,End Date Sunrise,16-Jan-14,17-Mar-14
recipes,End Date Sunrise,24-Dec-13,22-Feb-14
bargains,End Date Sunrise,18-Feb-14,19-Apr-14
photos,End Date Sunrise,24-Dec-13,22-Feb-14
careers,End Date Sunrise,24-Dec-13,22-Feb-14
boutique,End Date Sunrise,18-Feb-14,19-Apr-14
shoes,End Date Sunrise,24-Dec-13,22-Feb-14
tienda,End Date Sunrise,25-Mar-14,24-May-14
limo,End Date Sunrise,31-Dec-13,1-Mar-14
florist,End Date Sunrise,28-Jan-14,29-Mar-14
dance,End Date Sunrise,5-Feb-14,7-Apr-14
watch,End Date Sunrise,25-Feb-14,26-Apr-14
management,End Date Sunrise,7-Jan-14,8-Mar-14
house,End Date Sunrise,28-Jan-14,29-Mar-14
democrat,End Date Sunrise,5-Feb-14,7-Apr-14
works,End Date Sunrise,4-Mar-14,3-May-14
international,End Date Sunrise,28-Jan-14,29-Mar-14
cool,End Date Sunrise,25-Feb-14,26-Apr-14
coffee,End Date Sunrise,28-Jan-14,29-Mar-14
singles,End Date Sunrise,26-Nov-13,25-Jan-14
holdings,End Date Sunrise,26-Nov-13,25-Jan-14
guru,End Date Sunrise,26-Nov-13,25-Jan-14
clothing,End Date Sunrise,26-Nov-13,25-Jan-14
ventures,End Date Sunrise,26-Nov-13,25-Jan-14
bike,End Date Sunrise,26-Nov-13,25-Jan-14
plumbing,End Date Sunrise,26-Nov-13,25-Jan-14
camera,End Date Sunrise,3-Dec-13,1-Feb-14
equipment,End Date Sunrise,3-Dec-13,1-Feb-14
estate,End Date Sunrise,3-Dec-13,1-Feb-14
gallery,End Date Sunrise,3-Dec-13,1-Feb-14
graphics,End Date Sunrise,3-Dec-13,1-Feb-14
photography,End Date Sunrise,3-Dec-13,1-Feb-14
land,End Date Sunrise,10-Dec-13,8-Feb-14
today,End Date Sunrise,10-Dec-13,8-Feb-14
technology,End Date Sunrise,10-Dec-13,8-Feb-14
kitchen,End Date Sunrise,10-Dec-13,8-Feb-14
directory,End Date Sunrise,10-Dec-13,8-Feb-14
contractors,End Date Sunrise,10-Dec-13,8-Feb-14
construction,End Date Sunrise,10-Dec-13,8-Feb-14
lighting,End Date Sunrise,3-Dec-13,1-Feb-14
xn--ngbc5azd,End Date Sunrise,31-Oct-13,29-Dec-13
solutions,End Date Sunrise,14-Jan-14,15-Mar-14
immobilien,End Date Sunrise,19-Feb-14,21-Apr-14
builders,End Date Sunrise,14-Jan-14,15-Mar-14
support,End Date Sunrise,14-Jan-14,15-Mar-14
training,End Date Sunrise,14-Jan-14,15-Mar-14
social,End Date Sunrise,26-Feb-14,28-Apr-14
camp,End Date Sunrise,21-Jan-14,22-Mar-14
glass,End Date Sunrise,21-Jan-14,22-Mar-14
moda,End Date Sunrise,9-Apr-14,9-Jun-14
kaufen,End Date Sunrise,16-Apr-14,16-Jun-14
education,End Date Sunrise,21-Jan-14,22-Mar-14
institute,End Date Sunrise,21-Jan-14,22-Mar-14
CEO,Start Date Sunrise,10-Feb-14,12-Mar-14
solar,End Date Sunrise,28-Jan-14,29-Mar-14
repair,End Date Sunrise,21-Jan-14,22-Mar-14
codes,End Date Sunrise,11-Feb-14,12-Apr-14
email,End Date Sunrise,14-Jan-14,15-Mar-14
expert,End Date Sunrise,4-Mar-14,3-May-14
nagoya,End Date Sunrise,20-Feb-14,21-Apr-14
ink,End Date Sunrise,31-Mar-14,2-Jun-14
tools,End Date Sunrise,15-Apr-14,14-Jun-14
fish,End Date Sunrise,22-Apr-14,21-Jun-14
supplies,End Date Sunrise,15-Apr-14,14-Jun-14
supply,End Date Sunrise,15-Apr-14,14-Jun-14
report,End Date Sunrise,22-Apr-14,21-Jun-14
industries,End Date Sunrise,15-Apr-14,14-Jun-14
parts,End Date Sunrise,15-Apr-14,14-Jun-14
vision,End Date Sunrise,22-Apr-14,21-Jun-14
xn--i1b6b1a6a2e,Start Date Sunrise,22-Apr-14,22-May-14
xn--nqv7f,Start Date Sunrise,22-Apr-14,22-May-14
xn--c1avg,Start Date Sunrise,22-Apr-14,22-May-14
BEST,Start Date Sunrise,17-Apr-14,17-May-14
cards,End Date Sunrise,8-Apr-14,7-Jun-14
dating,End Date Sunrise,1-Apr-14,31-May-14
catering,End Date Sunrise,8-Apr-14,7-Jun-14
community,End Date Sunrise,8-Apr-14,7-Jun-14
events,End Date Sunrise,1-Apr-14,31-May-14
partners,End Date Sunrise,1-Apr-14,31-May-14
productions,End Date Sunrise,1-Apr-14,31-May-14
maison,End Date Sunrise,25-Mar-14,24-May-14
properties,End Date Sunrise,25-Mar-14,24-May-14
condos,End Date Sunrise,25-Mar-14,24-May-14
vacations,End Date Sunrise,18-Mar-14,17-May-14
cruises,End Date Sunrise,18-Mar-14,17-May-14
exposed,End Date Sunrise,11-Mar-14,10-May-14
foundation,End Date Sunrise,11-Mar-14,10-May-14
actor,End Date Sunrise,30-Apr-14,30-Jun-14
villas,End Date Sunrise,18-Mar-14,17-May-14
flights,End Date Sunrise,18-Mar-14,17-May-14
rentals,End Date Sunrise,18-Mar-14,17-May-14
pub,End Date Sunrise,2-Apr-14,2-Jun-14
