date,domains
2014-07-01,532
2014-08-01,342
2014-09-01,80
2014-10-01,34
2014-11-01,129
2014-12-01,118
2015-01-01,102
2015-02-01,91
2015-03-01,1191
2015-04-01,552
2015-05-01,836
2015-06-01,478
2015-07-01,369
2015-08-01,205
2015-09-01,73
2015-10-01,1038
2015-11-01,723
2015-12-01,601
2016-01-01,327
2016-02-01,485
2016-03-01,672
2016-04-01,295
2016-05-01,206
2016-06-01,815
2016-07-01,203
2016-08-01,67
2016-09-01,9
2016-10-01,60
2016-11-01,180
2016-12-01,21
