date,domains
2016-04-01,84
2016-05-01,169
2016-06-01,152
2016-07-01,256
2016-08-01,2408
2016-09-01,7845
2016-10-01,10782
2016-11-01,5369
2016-12-01,2284
2017-01-01,236
2017-02-01,76
2017-03-01,20
2017-04-01,1
