&registrar&domains&abused_new_gtld_count&new_gtld_rate&registrar&domains&abused_legacy_gtld_count&legacy_gtld_rate
1&OpenTLD B.V.&793&3&0.38&Minds and Machines LLC&1,115&108&9.69
2&AB Name ISP&1,074&4&0.37&Shinjiru Technology Sdn Bhd&16,134&280&1.74
3&Web4Africa Inc.&2,445&9&0.37&Upperlink Limited&4,527&74&1.63
4&CV. Rumahweb Indonesia&10,822&33&0.3&BR domain Inc. dba namegear.co&847&8&0.94
5&BigRock Solutions Ltd.&3,465&8&0.23&Launchpad.com Inc.&1,110,454&10,069&0.91
6&DOTSERVE INC.&10,782&24&0.22&Eranet International Limited&6,109&51&0.83
7&Shenzhen HuLianXianFeng Technology Co.,LTD&6,125&10&0.16&Web4Africa Inc.&22,418&187&0.83
8&10dencehispahard, S.L.&6,455&10&0.15&Rethem Hosting LLC&3,841&32&0.83
9&Marcaria.com International, Inc.&14,886&23&0.15&Dattatec.com SRL&196,950&1,307&0.66
10&ZNet Technologies Pvt Ltd.&1,365&2&0.15&Name121, Inc.&17,626&113&0.64
