2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,1
2014-06-01,1
2014-07-01,12
2014-08-01,2
2014-09-01,2
2014-10-01,4
2014-11-01,3
2014-12-01,11
2015-01-01,23
2015-02-01,14
2015-03-01,17
2015-04-01,10
2015-05-01,11
2015-06-01,38
2015-07-01,18
2015-08-01,38
2015-09-01,36
2015-10-01,31
2015-11-01,26
2015-12-01,34
2016-01-01,0
2016-02-01,73
2016-03-01,152
2016-04-01,97
2016-05-01,112
2016-06-01,156
2016-07-01,226
2016-08-01,228
2016-09-01,63
2016-10-01,80
2016-11-01,88
2016-12-01,301
2017-01-01,306
