2014-02-01,4312
2014-03-01,2808
2014-04-01,2837
2014-05-01,2171
2014-06-01,2903
2014-07-01,2534
2014-08-01,2827
2014-09-01,2053
2014-10-01,4671
2014-11-01,11147
2014-12-01,12563
2015-01-01,9529
2015-02-01,14346
2015-03-01,14144
2015-04-01,15359
2015-05-01,14592
2015-06-01,16411
2015-07-01,16966
2015-08-01,10844
2015-09-01,4085
2015-10-01,5472
2015-11-01,6475
2015-12-01,6968
2016-01-01,2297
2016-02-01,6476
2016-03-01,6443
2016-04-01,5459
2016-05-01,6134
2016-06-01,6861
2016-07-01,6179
2016-08-01,6830
2016-09-01,5558
2016-10-01,5286
2016-11-01,5282
2016-12-01,5883
2017-01-01,5526
