&registrar&domains&abused_new_gtld_count&new_gtld_rate&registrar&domains&abused_legacy_gtld_count&legacy_gtld_rate
1&Key-Systems GmbH&8,078&148&1.83&Minds and Machines LLC&1,115&117&10.49
2&AB Name ISP&1,074&14&1.3&Tecnologia, Desarrollo Y Mercado S. de R.L. de C.V.&2,027&128&6.31
3&OpenTLD B.V.&793&5&0.63&BR domain Inc. dba namegear.co&847&18&2.13
4&BigRock Solutions Ltd.&3,465&11&0.32&Abu-Ghazaleh Intellectual Property dba TAGIdomains.com&1,365&27&1.98
5&DOTSERVE INC.&10,782&34&0.32&Shinjiru Technology Sdn Bhd&16,134&256&1.59
6&Shenzhen HuLianXianFeng Technology Co.,LTD&6,125&19&0.31&Naugus Limited LLC&7,803&102&1.31
7&Shanghai Meicheng Technology Information Development Co., Ltd.&50,501&151&0.3&Upperlink Limited&4,527&56&1.24
8&FBS Inc.&56,438&164&0.29&Rethem Hosting LLC&3,841&38&0.99
9&Paragon Internet Group Ltd t/a Paragon Names&3,645&10&0.27&Eranet International Limited&6,109&45&0.74
10&CV. Rumahweb Indonesia&10,822&26&0.24&Danesco Trading Ltd.&186,035&1,214&0.65
