scanned,registrarname,domains,total_apwg,newgtld_apwg,apwg_newgtld_2_newgtld
31-12-2014,fbs,539667,446.0,1.0,0.0182748538012
31-12-2014,jiangsubangningsciencetechnologyco,292546,25.0,0.0,0.0
31-12-2014,shanghaimeichengtechnologyinformationdevelopmentco,258342,11.0,0.0,0.0
31-12-2014,evoplus,99454,605.0,19.0,inf
31-12-2014,domain,77714,14.0,2.0,0.00483360320951
31-12-2014,cvrumahwebindonesia,50371,38.0,0.0,0.0
31-12-2014,abnameisp,25147,2.0,0.0,0.0
31-12-2014,eranetinternational,22921,0.0,0.0,0.0
31-12-2014,znettechnologiespvt,21204,5.0,0.0,0.0
31-12-2014,webafrica,10608,9.0,0.0,0.0
