scanned,registrarname,domains,total_apwg,newgtld_apwg,apwg_newgtld_2_newgtld
30-06-2015,fbs,583074,0.0,0.0,0.0
30-06-2015,shanghaimeichengtechnologyinformationdevelopmentco,333949,0.0,0.0,0.0
30-06-2015,jiangsubangningsciencetechnologyco,259312,0.0,0.0,0.0
30-06-2015,domain,126495,0.0,0.0,0.0
30-06-2015,evoplus,96611,0.0,0.0,0.0
30-06-2015,cvrumahwebindonesia,67863,0.0,0.0,0.0
30-06-2015,abnameisp,25462,0.0,0.0,0.0
30-06-2015,eranetinternational,24510,0.0,0.0,0.0
30-06-2015,znettechnologiespvt,23876,0.0,0.0,0.0
30-06-2015,webafrica,10427,0.0,0.0,0.0
