scanned,registrarname,domains,total_apwg,newgtld_apwg,apwg_newgtld_2_newgtld
31-12-2015,fbs,609046,267.0,8.0,0.0481782595604
31-12-2015,shanghaimeichengtechnologyinformationdevelopmentco,395194,102.0,13.0,0.0568654039631
31-12-2015,jiangsubangningsciencetechnologyco,328852,100.0,44.0,0.0460979161647
31-12-2015,domain,143620,15.0,7.0,0.0072922743562
31-12-2015,evoplus,96204,53.0,2.0,0.143575017947
31-12-2015,cvrumahwebindonesia,77518,42.0,1.0,0.065445026178
31-12-2015,abnameisp,30575,12.0,0.0,0.0
31-12-2015,eranetinternational,26955,3.0,0.0,0.0
31-12-2015,znettechnologiespvt,26883,20.0,0.0,0.0
31-12-2015,webafrica,11319,17.0,0.0,0.0
