scanned,registrarname,domains,total_apwg,newgtld_apwg,apwg_newgtld_2_newgtld
30-06-2016,fbs,619320,0.0,0.0,0.0
30-06-2016,shanghaimeichengtechnologyinformationdevelopmentco,464249,0.0,0.0,0.0
30-06-2016,jiangsubangningsciencetechnologyco,432189,0.0,0.0,0.0
30-06-2016,domain,146760,0.0,0.0,0.0
30-06-2016,cvrumahwebindonesia,87963,0.0,0.0,0.0
30-06-2016,evoplus,87754,0.0,0.0,0.0
30-06-2016,znettechnologiespvt,30892,0.0,0.0,0.0
30-06-2016,abnameisp,30333,0.0,0.0,0.0
30-06-2016,webafrica,13763,0.0,0.0,0.0
30-06-2016,eranetinternational,12794,0.0,0.0,0.0
