2014-02-01,132
2014-03-01,28857
2014-04-01,21727
2014-05-01,27289
2014-06-01,31825
2014-07-01,144588
2014-08-01,122585
2014-09-01,42098
2014-10-01,48047
2014-11-01,52554
2014-12-01,52580
2015-01-01,57909
2015-02-01,45743
2015-03-01,46339
2015-04-01,62059
2015-05-01,135943
2015-06-01,78878
2015-07-01,81551
2015-08-01,129713
2015-09-01,166016
2015-10-01,193778
2015-11-01,171304
2015-12-01,218242
2016-01-01,160070
2016-02-01,166982
2016-03-01,178556
2016-04-01,203416
2016-05-01,207422
2016-06-01,574275
2016-07-01,2017971
2016-08-01,156853
2016-09-01,177267
2016-10-01,182727
2016-11-01,255808
