date,domains
2014-07-01,4
2014-08-01,4
2014-12-01,1
2015-03-01,2
2015-06-01,22
2015-09-01,17
2015-10-01,115
2015-11-01,24
2015-12-01,78
2016-01-01,165
2016-02-01,734
2016-03-01,789
2016-04-01,161
2016-05-01,398
2016-06-01,80
2016-07-01,170
2016-08-01,128
2016-09-01,54
2016-10-01,22
2016-11-01,9
2016-12-01,23
