date,domains
2014-07-01,1
2015-02-01,30
2015-03-01,327
2015-04-01,789
2015-05-01,12038
2015-06-01,9714
2015-07-01,12513
2015-08-01,10586
2015-09-01,13187
2015-10-01,50506
2015-11-01,29442
2015-12-01,23784
2016-01-01,60046
2016-02-01,61522
2016-03-01,122533
2016-04-01,71713
2016-05-01,86659
2016-06-01,63537
2016-07-01,74020
2016-08-01,93159
2016-09-01,70277
2016-10-01,152048
2016-11-01,77616
2016-12-01,65232
2017-01-01,22463
2017-02-01,14866
2017-03-01,9500
2017-04-01,401
