date,domains
2015-02-01,7
2015-03-01,54
2015-04-01,2
2015-05-01,1009
2015-06-01,66384
2015-07-01,6120
2015-08-01,5342
2015-09-01,4476
2015-10-01,14441
2015-11-01,8684
2015-12-01,7640
2016-01-01,16867
2016-02-01,7419
2016-03-01,19700
2016-04-01,8987
2016-05-01,16261
2016-06-01,17845
2016-07-01,62282
2016-08-01,204906
2016-09-01,50816
2016-10-01,139599
2016-11-01,54241
2016-12-01,38666
