&newgtld_country&newgtld_count&newgtld_rate&newgtld_rate/10k&legacy_country&legacy_count&legacy_rate&legacy_rate/10k
1&China&3,171&33.71&3.93&United States&215,026&55.88&14.1
2&United States&2,652&28.19&3.28&China&41,962&10.9&2.75
3&Gibraltar&1,839&19.55&2.28&India&30,765&7.99&2.02
4&India&397&4.22&0.49&Canada&17,149&4.46&1.12
5&United Kingdom&312&3.32&0.39&Germany&14,168&3.68&0.93
6&Cayman Islands&195&2.07&0.24&France&7,576&1.97&0.5
7&Singapore&148&1.57&0.18&Spain&6,333&1.65&0.42
8&Japan&110&1.17&0.14&Turkey&5,907&1.54&0.39
9&France&110&1.17&0.14&United Kingdom&5,762&1.5&0.38
10&Germany&109&1.16&0.13&Japan&5,134&1.33&0.34
