&registrar&domains&abused_new_gtld_count&new_gtld_rate&registrar&domains&abused_legacy_gtld_count&legacy_gtld_rate
1&Danesco Trading Ltd.&137&2&1.46&0101 Internet, Inc.&8,317&262&3.15
2&Foshan YiDong Network Co., LTD&45,556&209&0.46&Minds and Machines LLC&1,115&26&2.33
3&Xiamen Nawang Technology Co., Ltd&282,925&899&0.32&Soluciones Corporativas IP, SL&197,864&3,029&1.53
4&Authentic Web Inc.&1,179&3&0.25&Rethem Hosting LLC&3,841&51&1.33
5&Netowl, Inc.&1,190&3&0.25&Pheenix 7, LLC&314&4&1.27
6&TLD Registrar Solutions Ltd.&163,988&289&0.18&Danesco Trading Ltd.&186,035&1,702&0.91
7&Eranet International Limited&42,154&58&0.14&CloudFlare, Inc.&221&2&0.9
8&Dynadot, LLC&94,891&125&0.13&Paknic (Private) Limited&10,525&93&0.88
9&CV. Rumahweb Indonesia&10,822&13&0.12&IPNIC, Inc.&687&6&0.87
10&"Jiangsu Bangning Science & technology Co. Ltd."&200,323&145&0.07&Center of Ukrainian Internet Names (UKRNAMES)&69,480&558&0.8
