&registrar&domains&abused_new_gtld_count&new_gtld_rate&registrar&domains&abused_legacy_gtld_count&legacy_gtld_rate
1&Nanjing Imperiosus Technology Co. Ltd.&38,025&35,502&93.36&HOAPDI INC.&141&126&89.36
2&Intracom Middle East FZE&20,640&11,255&54.53&asia registry r2-asia (700000)&1,379&598&43.36
3&Dot Holding Inc.&153&76&49.67&Nanjing Imperiosus Technology Co. Ltd.&35,309&10,834&30.68
4&Alpnames Limited&3,028,011&751,748&24.83&Paknic (Private) Limited&10,525&3,083&29.29
5&Todaynic.com, Inc.&329,399&69,404&21.07&OwnRegistrar, Inc.&22,188&5,238&23.61
6&Web Werks India Pvt. Ltd d/b/a ZenRegistry.com&785&146&18.6&Eranet International Limited&6,109&1,339&21.92
7&GMO Internet, Inc. d/b/a Onamae.com&1,734,775&295,641&17.04&BR domain Inc. dba namegear.co&847&158&18.65
8&TLD Registrar Solutions Ltd.&163,988&24,700&15.06&Netlynx Inc.&17,612&3,030&17.2
9&Xiamen Nawang Technology Co., Ltd&282,925&42,089&14.88&AFRIREGISTER S.A.&1,551&266&17.15
10&Instra Corporation Pty Ltd.&77,642&6,200&7.99&GMO Internet, Inc. d/b/a Onamae.com&7,306,312&1,177,886&16.12
