2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,0
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,1
2014-10-01,6
2014-11-01,11
2014-12-01,7
2015-01-01,23
2015-02-01,69
2015-03-01,137
2015-04-01,162
2015-05-01,141
2015-06-01,160
2015-07-01,152
2015-08-01,153
2015-09-01,13
2015-10-01,12
2015-11-01,24
2015-12-01,15
2016-01-01,22
2016-02-01,27
2016-03-01,39
2016-04-01,59
2016-05-01,53
2016-06-01,111
2016-07-01,197
2016-08-01,251
2016-09-01,1979
2016-10-01,1812
2016-11-01,4515
2016-12-01,2813
2017-01-01,2926
