2014-02-01,0
2014-03-01,28
2014-04-01,49
2014-05-01,213
2014-06-01,479
2014-07-01,1853
2014-08-01,759
2014-09-01,1424
2014-10-01,879
2014-11-01,6428
2014-12-01,2536
2015-01-01,1475
2015-02-01,3635
2015-03-01,2066
2015-04-01,3006
2015-05-01,5515
2015-06-01,3951
2015-07-01,10712
2015-08-01,7546
2015-09-01,10819
2015-10-01,8242
2015-11-01,7172
2015-12-01,24135
2016-01-01,7554
2016-02-01,9748
2016-03-01,6968
2016-04-01,6280
2016-05-01,10882
2016-06-01,12853
2016-07-01,22699
2016-08-01,9951
2016-09-01,10842
2016-10-01,10082
2016-11-01,11357
2016-12-01,10449
2017-01-01,5916
